,ParkName,Rank,Value,PercentOfTotal,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,Unnamed: 0,latitude,longitude
144,RAINBOW BRIDGE NM,237,"108,418",0.03%,UT,IM,160.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0,65,37.0774203,-110.964382
145,NATURAL BRIDGES NM,238,"107,443",0.03%,UT,IM,7620.49,16.0,0.0,7636.49,0.0,0.0,0.0,7636.49,17,37.604056,-110.0052043
146,STONEWALL NM,240,"106,791",0.03%,NY,NE,0.12,0.0,0.0,0.12,7.53,0.05,7.58,7.7,137,40.7335757,-74.00252789999998
147,STEAMTOWN NHS,241,"103,956",0.03%,PA,NE,51.29,0.0,0.0,51.29,10.55,0.64,11.19,62.48,4,41.40790579999999,-75.6720114
148,WACO MAMMOTH NM,242,"101,792",0.03%,TX,IM,4.93,2.18,0.0,7.11,100.12,0.0,100.12,107.23,171,31.606733600000002,-97.1758392
149,TIMPANOGOS CAVE NM,243,"100,740",0.03%,UT,IM,250.0,0.0,0.0,250.0,0.0,0.0,0.0,250.0,191,40.4405549,-111.7094462
150,SARATOGA NHP,245,"97,781",0.03%,NY,NE,3080.6,2.04,0.0,3082.64,59.18,437.32,496.5,3579.14,180,43.01230820000001,-73.6488883
151,GENERAL GRANT NMEM,246,"97,005",0.03%,NY,NE,0.76,0.0,0.0,0.76,0.0,0.0,0.0,0.76,204,40.8134045,-73.9630671
152,CHRISTIANSTED NHS,247,"96,779",0.03%,VI,SE,26.24,0.0,0.0,26.24,0.91,0.0,0.91,27.15,98,17.7471645,-64.7021636
153,GRAND PORTAGE NM,248,"96,051",0.03%,MN,MW,709.97,0.0,0.0,709.97,0.0,0.0,0.0,709.97,31,47.9607126,-89.68658609999999
154,MANHATTAN PROJECT NHP,249,"89,599",0.03%,NM-TN-WA,IM,0.0,0.0,113.61,113.61,0.0,0.0,0.0,113.61,53,35.8825835,-106.30184750000001
155,MOORES CREEK NB,250,"86,747",0.03%,NC,SE,85.35,2.4,0.0,87.75,0.0,0.0,0.0,87.75,55,34.457789700000006,-78.109585
156,CHAMIZAL NMEM,251,"86,400",0.03%,TX,IM,54.9,0.0,0.0,54.9,0.0,0.0,0.0,54.9,132,31.767143800000003,-106.4542166
